Citation,Year,Journal,Family,BinomialStudy,BinomialReptileDatabase,Sex,Age,SSM,SSBF,SC,BM,BM.SD,BM.SE,BM.MIN,BM.MAX,SVL,SVL.SD,SVL.SE,SVL.MIN,SVL.MAX,HL,HL.SD,HL.SE,HL.MIN,HL.MAX,HW,HW.SD,HW.SE,HW.MIN,HW.MAX,HH,HH.SD,HH.SE,HH.MIN,HH.MAX,BF,BF.SD,BF.SE,BF.MIN,BF.MAX,LJL,LJL.SD,LJL.SE,LJL.MIN,LJL.MAX,DataQuality,Notes
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion thamnobates,Bradypodion thamnobates,M,A,25,13,Metal,NA,NA,NA,NA,NA,60.97,14.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4,7.58,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion thamnobates,Bradypodion thamnobates,F,A,17,12,Metal,NA,NA,NA,NA,NA,66.34,19.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.25,13.04,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion transvaalense,Bradypodion transvaalense,M,A,12,12,Metal,NA,NA,NA,NA,NA,60.26,10.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.02,6.74,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion transvaalense,Bradypodion transvaalense,F,A,10,10,Metal,NA,NA,NA,NA,NA,66.14,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.45,6.11,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion ventrale,Bradypodion ventrale,M,A,8,8,Metal,NA,NA,NA,NA,NA,64.22,9.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.46,3.82,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion ventrale,Bradypodion ventrale,F,A,19,19,Metal,NA,NA,NA,NA,NA,67.47,12.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.66,6.45,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion taeniabronchum,Bradypodion taeniabronchum,M,A,21,32,Metal,NA,NA,NA,NA,NA,50.13,4.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65,1.48,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Dollion, et al., 2017",2017,Func Ecol,Chamaeleonidae,Bradypodion taeniabronchum,Bradypodion taeniabronchum,F,A,18,27,Metal,NA,NA,NA,NA,NA,50.82,7.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28,1.44,NA,NA,NA,NA,NA,NA,NA,NA,Bad,NA
"Baeckens, et al., 2017",2017,J Zool,Trogonophidae,Trogonophis wiegmanni,Trogonophis wiegmanni,M,A,15,15,Metal,6.83,NA,0.42,NA,NA,158.47,NA,2.48,NA,NA,6.96,NA,0.14,NA,NA,5.09,NA,0.15,NA,NA,4.07,NA,0.14,NA,NA,5.2,NA,0.32,NA,NA,NA,NA,NA,NA,NA,Good,"Methods state metal as the substrate category. Results state that MAX BF for the species = ""Individual maximal bite force in T. wiegmanni varied between 3.30 and 8.00 N (mean SE = 5.15 + 0.23 N)"" - this is for the pooled data of males and females. Therefore there are 3 rows, one for males, females and the pooled data which has the max BF for the species. Although it is likely that the max BF is from a male, this is not confirmed in the study. "
"Baeckens, et al., 2017",2017,J Zool,Trogonophidae,Trogonophis wiegmanni,Trogonophis wiegmanni,F,A,10,10,Metal,6.73,NA,0.53,NA,NA,153.2,NA,3.32,NA,NA,6.69,NA,0.13,NA,NA,5,NA,0.14,NA,NA,4,NA,0.14,NA,NA,5.08,NA,0.32,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Baeckens, et al., 2017",2017,J Zool,Trogonophidae,Trogonophis wiegmanni,Trogonophis wiegmanni,NA,A,25,25,Metal,6.79,NA,0.32,NA,NA,156.36,NA,2.02,NA,NA,6.85,NA,0.1,NA,NA,5.05,NA,0.1,NA,NA,4.04,NA,0.09,NA,NA,5.15,NA,0.23,3.3,8,NA,NA,NA,NA,NA,Good,NA
"D'Amore, et al., 2018",2018,Herpetol Notes,Scincidae,Carlia triacantha,Carlia triacantha,NA,A,2,2,NA,2.75,1.06,NA,NA,NA,44.81,6.19,NA,NA,NA,8.92,0.37,NA,NA,NA,7.81,1.05,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.41,NA,NA,NA,NA,NA,NA,NA,NA,Good,"No data available for sex. Paper states that "" a wooden brace was gluded to the underside for larger skinks, but small skinks could not fit the wooden brace in their mouth and therefore there was no uniform substrate used in this study"". Data was available for body length which was input as a proxy for SVL. "
"D'Amore, et al., 2018",2018,Herpetol Notes,Scincidae,Cryptoblepharus metallicus,Cryptoblepharus metallicus,NA,A,11,8,NA,1,0.5,NA,NA,NA,35.7,6.93,NA,NA,NA,7.91,1.44,NA,NA,NA,5.19,0.94,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.1,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"D'Amore, et al., 2018",2018,Herpetol Notes,Scincidae,Ctenotus robustus,Ctenotus robustus,NA,A,15,12,NA,16.6,15.94,NA,NA,NA,90.53,33.74,NA,NA,NA,15.04,4.82,NA,NA,NA,11.64,4.06,NA,NA,NA,NA,NA,NA,NA,NA,3.74,3.09,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"D'Amore, et al., 2018",2018,Herpetol Notes,Scincidae,Ctenotus inornatus,Ctenotus inornatus,NA,A,10,9,NA,5.4,2.49,NA,NA,NA,63.99,9.49,NA,NA,NA,12.42,1.85,NA,NA,NA,8.84,1.37,NA,NA,NA,NA,NA,NA,NA,NA,1.26,0.6,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"D'Amore, et al., 2018",2018,Herpetol Notes,Scincidae,Eremiascincus isolepis,Eremiascincus isolepis,NA,A,5,5,NA,3,1.84,NA,NA,NA,53.11,9.91,NA,NA,NA,9.68,1.8,NA,NA,NA,7.23,1.48,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.23,NA,NA,NA,NA,NA,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis allisoni,Anolis allisoni,M,A,9,9,NA,NA,NA,NA,NA,NA,70.79,1.2,NA,NA,NA,24.55,1.26,NA,NA,NA,14.45,1.35,NA,NA,NA,7.59,1.26,NA,NA,NA,5.25,2.14,NA,NA,NA,23.44,1.23,NA,NA,NA,Good,"Meyer (2019), each species also had data on their ecomorph. Raw morph and BFdata was log10 transformed and available froMDryad repository, so I reversed transformed it (10^x). "
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis angusticeps,Anolis angusticeps,M,A,57,57,NA,NA,NA,NA,NA,NA,43.65,1.12,NA,NA,NA,13.49,1.12,NA,NA,NA,6.17,1.15,NA,NA,NA,4.57,1.15,NA,NA,NA,1.58,1.86,NA,NA,NA,13.8,1.15,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis bahorucoensis,Anolis bahorucoensis,M,A,30,30,NA,NA,NA,NA,NA,NA,38.9,1.23,NA,NA,NA,13.18,1.17,NA,NA,NA,6.31,1.15,NA,NA,NA,5.13,1.15,NA,NA,NA,2.14,1.82,NA,NA,NA,13.49,1.17,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis baracoae,Anolis baracoae,M,A,2,2,NA,NA,NA,NA,NA,NA,123.03,1.02,NA,NA,NA,41.69,1.02,NA,NA,NA,13.8,1.02,NA,NA,NA,17.38,1.05,NA,NA,NA,23.99,1.15,NA,NA,NA,41.69,1.05,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis barahonae,Anolis barahonae,M,A,32,32,NA,NA,NA,NA,NA,NA,147.91,1.29,NA,NA,NA,44.67,1.29,NA,NA,NA,25.7,1.26,NA,NA,NA,22.91,1.26,NA,NA,NA,48.98,1.91,NA,NA,NA,45.71,1.26,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis brevirostris,Anolis brevirostris,M,A,64,64,NA,NA,NA,NA,NA,NA,44.67,1.1,NA,NA,NA,13.49,1.07,NA,NA,NA,8.13,1.1,NA,NA,NA,5.89,1.12,NA,NA,NA,3.98,1.45,NA,NA,NA,13.18,1.07,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis brunneus,Anolis brunneus,M,A,53,53,NA,NA,NA,NA,NA,NA,61.66,1.15,NA,NA,NA,19.5,1.15,NA,NA,NA,9.12,1.15,NA,NA,NA,6.61,1.15,NA,NA,NA,4.57,1.58,NA,NA,NA,20.89,1.15,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis carolinensis,Anolis carolinensis,M,A,307,307,NA,NA,NA,NA,NA,NA,57.54,1.17,NA,NA,NA,17.38,1.17,NA,NA,NA,9.12,1.2,NA,NA,NA,6.46,1.2,NA,NA,NA,3.47,1.78,NA,NA,NA,18.2,1.17,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis coelestinus,Anolis coelestinus,M,A,70,70,NA,NA,NA,NA,NA,NA,61.66,1.1,NA,NA,NA,19.05,1.07,NA,NA,NA,10.23,1.1,NA,NA,NA,7.94,1.1,NA,NA,NA,10,1.38,NA,NA,NA,19.5,1.07,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis cristatellus,Anolis cristatellus,M,A,77,77,NA,NA,NA,NA,NA,NA,63.1,1.17,NA,NA,NA,18.2,1.15,NA,NA,NA,10.96,1.17,NA,NA,NA,8.51,1.17,NA,NA,NA,5.75,1.58,NA,NA,NA,18.62,1.15,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis cuvieri,Anolis cuvieri,M,A,10,10,NA,NA,NA,NA,NA,NA,131.83,1.05,NA,NA,NA,42.66,1.05,NA,NA,NA,21.88,1.07,NA,NA,NA,19.05,1.07,NA,NA,NA,72.44,1.35,NA,NA,NA,41.69,1.05,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis cybotes,Anolis cybotes,M,A,61,61,NA,NA,NA,NA,NA,NA,57.54,1.2,NA,NA,NA,19.95,1.2,NA,NA,NA,11.75,1.23,NA,NA,NA,9.55,1.26,NA,NA,NA,11.75,1.78,NA,NA,NA,19.5,1.2,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis distichus,Anolis distichus,M,A,91,91,NA,NA,NA,NA,NA,NA,45.71,1.1,NA,NA,NA,12.88,1.1,NA,NA,NA,8.32,1.12,NA,NA,NA,5.89,1.15,NA,NA,NA,2.29,1.74,NA,NA,NA,13.18,1.12,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis evermanni,Anolis evermanni,M,A,60,60,NA,NA,NA,NA,NA,NA,54.95,1.15,NA,NA,NA,16.22,1.12,NA,NA,NA,9.33,1.12,NA,NA,NA,6.92,1.12,NA,NA,NA,2.69,1.51,NA,NA,NA,16.98,1.12,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis garmani,Anolis garmani,M,A,23,23,NA,NA,NA,NA,NA,NA,91.2,1.35,NA,NA,NA,26.3,1.32,NA,NA,NA,14.45,1.35,NA,NA,NA,11.75,1.35,NA,NA,NA,11.48,2.4,NA,NA,NA,27.54,1.32,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis grahami,Anolis grahami,M,A,23,23,NA,NA,NA,NA,NA,NA,58.88,1.07,NA,NA,NA,17.78,1.07,NA,NA,NA,10,1.1,NA,NA,NA,7.24,1.12,NA,NA,NA,4.79,1.48,NA,NA,NA,18.62,1.07,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis gundlachi,Anolis gundlachi,M,A,52,52,NA,NA,NA,NA,NA,NA,53.7,1.23,NA,NA,NA,17.38,1.2,NA,NA,NA,9.12,1.2,NA,NA,NA,7.41,1.2,NA,NA,NA,3.98,1.91,NA,NA,NA,17.38,1.2,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis krugi,Anolis krugi,M,A,39,39,NA,NA,NA,NA,NA,NA,38.9,1.2,NA,NA,NA,12.88,1.17,NA,NA,NA,6.76,1.2,NA,NA,NA,5.89,1.2,NA,NA,NA,1.91,1.86,NA,NA,NA,12.88,1.17,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis lineatopus,Anolis lineatopus,M,A,57,57,NA,NA,NA,NA,NA,NA,51.29,1.12,NA,NA,NA,15.85,1.15,NA,NA,NA,8.32,1.15,NA,NA,NA,6.31,1.15,NA,NA,NA,3.09,1.55,NA,NA,NA,16.22,1.15,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis olssoni,Anolis olssoni,M,A,29,29,NA,NA,NA,NA,NA,NA,43.65,1.07,NA,NA,NA,12.3,1.05,NA,NA,NA,5.89,1.05,NA,NA,NA,5.13,1.1,NA,NA,NA,2.57,1.41,NA,NA,NA,13.18,1.15,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis pulchellus,Anolis pulchellus,M,A,39,39,NA,NA,NA,NA,NA,NA,41.69,1.1,NA,NA,NA,13.18,1.15,NA,NA,NA,6.17,1.2,NA,NA,NA,5.37,1.17,NA,NA,NA,2.14,1.74,NA,NA,NA,13.49,1.15,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis sagrei,Anolis sagrei,M,A,189,189,NA,NA,NA,NA,NA,NA,48.98,1.2,NA,NA,NA,13.8,1.15,NA,NA,NA,7.76,1.15,NA,NA,NA,5.89,1.2,NA,NA,NA,2.75,1.78,NA,NA,NA,14.13,1.15,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis sheplani,Anolis sheplani,M,A,9,9,NA,NA,NA,NA,NA,NA,38.9,1.07,NA,NA,NA,11.22,1.07,NA,NA,NA,4.57,1.07,NA,NA,NA,4.47,1.1,NA,NA,NA,1.02,1.32,NA,NA,NA,11.48,1.05,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis singularis,Anolis singularis,M,A,16,16,NA,NA,NA,NA,NA,NA,38.9,1.1,NA,NA,NA,12.3,1.1,NA,NA,NA,6.76,1.12,NA,NA,NA,5.25,1.15,NA,NA,NA,2.51,1.91,NA,NA,NA,12.88,1.12,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis smaragdinus,Anolis smaragdinus,M,A,54,54,NA,NA,NA,NA,NA,NA,53.7,1.12,NA,NA,NA,16.6,1.1,NA,NA,NA,8.32,1.12,NA,NA,NA,5.75,1.12,NA,NA,NA,2.88,1.55,NA,NA,NA,17.38,1.12,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis stratulus,Anolis stratulus,M,A,38,38,NA,NA,NA,NA,NA,NA,44.67,1.05,NA,NA,NA,13.8,1.05,NA,NA,NA,7.76,1.07,NA,NA,NA,5.5,1.1,NA,NA,NA,1.82,1.17,NA,NA,NA,13.8,1.05,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis valencienni,Anolis valencienni,M,A,25,25,NA,NA,NA,NA,NA,NA,64.57,1.15,NA,NA,NA,19.05,1.17,NA,NA,NA,9.12,1.17,NA,NA,NA,7.59,1.2,NA,NA,NA,5.37,1.82,NA,NA,NA,19.05,1.17,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis allisoni,Anolis allisoni,F,A,7,7,NA,NA,NA,NA,NA,NA,54.95,1.12,NA,NA,NA,19.95,1.15,NA,NA,NA,8.32,1.12,NA,NA,NA,5.5,1.12,NA,NA,NA,2,1.45,NA,NA,NA,17.78,1.12,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis angusticeps,Anolis angusticeps,F,A,26,26,NA,NA,NA,NA,NA,NA,39.81,1.05,NA,NA,NA,11.48,1.05,NA,NA,NA,5.13,1.1,NA,NA,NA,3.8,1.1,NA,NA,NA,1.51,1.48,NA,NA,NA,11.48,1.05,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis bahorucoensis,Anolis bahorucoensis,F,A,22,22,NA,NA,NA,NA,NA,NA,31.62,1.12,NA,NA,NA,10.72,1.1,NA,NA,NA,5.37,1.07,NA,NA,NA,4.37,1.12,NA,NA,NA,1.07,1.58,NA,NA,NA,10.72,1.1,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis baracoae,Anolis baracoae,F,A,3,3,NA,NA,NA,NA,NA,NA,112.2,1.15,NA,NA,NA,38.02,1.2,NA,NA,NA,21.38,1.23,NA,NA,NA,14.45,1.23,NA,NA,NA,15.14,1.74,NA,NA,NA,36.31,1.2,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis barahonae,Anolis barahonae,F,A,7,7,NA,NA,NA,NA,NA,NA,141.25,1.05,NA,NA,NA,43.65,1.05,NA,NA,NA,23.99,1.1,NA,NA,NA,20.89,1.07,NA,NA,NA,40.74,1.26,NA,NA,NA,43.65,1.07,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis brevirostris,Anolis brevirostris,F,A,32,32,NA,NA,NA,NA,NA,NA,38.9,1.07,NA,NA,NA,12.02,1.05,NA,NA,NA,7.24,1.07,NA,NA,NA,5.37,1.12,NA,NA,NA,1.91,1.29,NA,NA,NA,11.75,1.05,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis brunneus,Anolis brunneus,F,A,24,24,NA,NA,NA,NA,NA,NA,46.77,1.07,NA,NA,NA,13.8,1.05,NA,NA,NA,6.61,1.07,NA,NA,NA,4.68,1.12,NA,NA,NA,1.74,1.48,NA,NA,NA,14.13,1.07,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis carolinensis,Anolis carolinensis,F,A,95,95,NA,NA,NA,NA,NA,NA,50.12,1.15,NA,NA,NA,14.79,1.12,NA,NA,NA,7.76,1.12,NA,NA,NA,5.62,1.12,NA,NA,NA,2.19,1.35,NA,NA,NA,15.14,1.12,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis coelestinus,Anolis coelestinus,F,A,26,26,NA,NA,NA,NA,NA,NA,46.77,1.07,NA,NA,NA,14.45,1.05,NA,NA,NA,7.59,1.05,NA,NA,NA,5.75,1.07,NA,NA,NA,3.24,1.45,NA,NA,NA,14.79,1.05,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis cristatellus,Anolis cristatellus,F,A,54,54,NA,NA,NA,NA,NA,NA,46.77,1.1,NA,NA,NA,14.13,1.07,NA,NA,NA,8.13,1.07,NA,NA,NA,6.31,1.07,NA,NA,NA,2.24,1.35,NA,NA,NA,14.13,1.07,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis cuvieri,Anolis cuvieri,F,A,9,9,NA,NA,NA,NA,NA,NA,123.03,1.05,NA,NA,NA,39.81,1.05,NA,NA,NA,19.5,1.07,NA,NA,NA,17.78,1.07,NA,NA,NA,48.98,1.29,NA,NA,NA,38.02,1.05,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis cybotes,Anolis cybotes,F,A,44,44,NA,NA,NA,NA,NA,NA,45.71,1.07,NA,NA,NA,15.49,1.07,NA,NA,NA,8.91,1.1,NA,NA,NA,7.08,1.12,NA,NA,NA,4.9,1.29,NA,NA,NA,15.49,1.07,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis distichus,Anolis distichus,F,A,78,78,NA,NA,NA,NA,NA,NA,40.74,1.07,NA,NA,NA,11.75,1.05,NA,NA,NA,7.24,1.07,NA,NA,NA,5.25,1.12,NA,NA,NA,1.29,1.48,NA,NA,NA,11.48,1.07,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis evermanni,Anolis evermanni,F,A,44,44,NA,NA,NA,NA,NA,NA,45.71,1.1,NA,NA,NA,13.8,1.07,NA,NA,NA,7.76,1.07,NA,NA,NA,5.75,1.07,NA,NA,NA,1.48,1.26,NA,NA,NA,14.13,1.07,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis garmani,Anolis garmani,F,A,16,16,NA,NA,NA,NA,NA,NA,74.13,1.2,NA,NA,NA,20.89,1.15,NA,NA,NA,11.48,1.17,NA,NA,NA,8.91,1.17,NA,NA,NA,5.5,1.66,NA,NA,NA,21.88,1.15,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis grahami,Anolis grahami,F,A,17,17,NA,NA,NA,NA,NA,NA,44.67,1.07,NA,NA,NA,13.49,2,NA,NA,NA,7.24,1.1,NA,NA,NA,5.25,1.12,NA,NA,NA,1.32,1.41,NA,NA,NA,13.8,1.07,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis gundlachi,Anolis gundlachi,F,A,19,19,NA,NA,NA,NA,NA,NA,45.71,1.05,NA,NA,NA,14.13,1.02,NA,NA,NA,7.59,1.02,NA,NA,NA,5.89,1.05,NA,NA,NA,2.19,1.23,NA,NA,NA,13.8,1.05,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis krugi,Anolis krugi,F,A,14,14,NA,NA,NA,NA,NA,NA,31.62,1.2,NA,NA,NA,10,1.23,NA,NA,NA,5.62,1.15,NA,NA,NA,4.68,1.17,NA,NA,NA,1.07,1.48,NA,NA,NA,10.23,1.2,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis lineatopus,Anolis lineatopus,F,A,44,44,NA,NA,NA,NA,NA,NA,43.65,1.05,NA,NA,NA,12.88,1.05,NA,NA,NA,6.76,1.05,NA,NA,NA,5.13,1.07,NA,NA,NA,1.62,1.2,NA,NA,NA,13.18,1.05,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis olssoni,Anolis olssoni,F,A,31,31,NA,NA,NA,NA,NA,NA,38.9,1.1,NA,NA,NA,10.72,1.07,NA,NA,NA,5.13,1.07,NA,NA,NA,4.27,1.1,NA,NA,NA,1.1,1.62,NA,NA,NA,11.22,1.07,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis pulchellus,Anolis pulchellus,F,A,7,7,NA,NA,NA,NA,NA,NA,39.81,1.12,NA,NA,NA,12.59,1.17,NA,NA,NA,6.03,1.2,NA,NA,NA,4.9,1.23,NA,NA,NA,1.86,2.19,NA,NA,NA,12.88,1.2,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis sagrei,Anolis sagrei,F,A,139,139,NA,NA,NA,NA,NA,NA,38.02,1.12,NA,NA,NA,10.96,1.1,NA,NA,NA,6.03,1.1,NA,NA,NA,4.47,1.15,NA,NA,NA,1.07,1.55,NA,NA,NA,10.96,1.1,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis sheplani,Anolis sheplani,F,A,16,16,NA,NA,NA,NA,NA,NA,37.15,1.12,NA,NA,NA,10.47,1.12,NA,NA,NA,4.37,1.1,NA,NA,NA,4.27,1.12,NA,NA,NA,1.23,1.91,NA,NA,NA,10.72,1.1,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis singularis,Anolis singularis,F,A,18,18,NA,NA,NA,NA,NA,NA,33.88,1.12,NA,NA,NA,10.72,1.23,NA,NA,NA,6.17,1.17,NA,NA,NA,4.68,1.1,NA,NA,NA,1.2,1.86,NA,NA,NA,11.22,1.1,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis smaragdinus,Anolis smaragdinus,F,A,51,51,NA,NA,NA,NA,NA,NA,44.67,1.07,NA,NA,NA,13.18,1.07,NA,NA,NA,6.46,1.07,NA,NA,NA,4.37,1.12,NA,NA,NA,1.15,1.48,NA,NA,NA,13.49,1.07,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis stratulus,Anolis stratulus,F,A,28,28,NA,NA,NA,NA,NA,NA,38.02,1.07,NA,NA,NA,11.75,1.05,NA,NA,NA,6.61,1.1,NA,NA,NA,4.9,1.1,NA,NA,NA,1.02,1.17,NA,NA,NA,11.75,1.05,NA,NA,NA,Good,NA
"Meyer, et al., 2019",2019,Func Ecol,Dactyloidae,Anolis valencienni,Anolis valencienni,F,A,22,22,NA,NA,NA,NA,NA,NA,58.88,1.12,NA,NA,NA,16.6,1.1,NA,NA,NA,7.94,1.1,NA,NA,NA,6.31,1.1,NA,NA,NA,2.95,1.41,NA,NA,NA,16.6,1.12,NA,NA,NA,Good,NA
"Jones, et al., 2020",2020,J Exp Zool A,Agamidae,Pogona vitticeps,Pogona vitticeps,M,A,11,11,Leather,234.68,NA,13.71,NA,NA,187.82,NA,4.24,NA,NA,46.37,NA,0.96,NA,NA,41.48,NA,0.96,NA,NA,28.11,NA,0.83,NA,NA,71.46,NA,6.46,NA,NA,56.31,NA,1.23,NA,NA,Good,"There were data available for two head length measurements (HLrr and HLrq) and for two head width measurements (HWqu and HWmt). Marc confirmed to use HLrr for lower-jaw length, HLrq for head length and HWqu for head width and HDmt (head depth) was used as a proxy for head height. I used BF data from the tips, although max BF was higher at no lever. Included data from normal females as they had a higher max BF than sex reversed females. SC = Leather stated in methods."
